Date,Open,High,Low,Close,Adj Close,Volume
2008-11-17,1.130000,1.190000,1.060000,1.060000,1.060000,104200
2008-11-18,1.070000,1.120000,0.960000,0.990000,0.990000,729100
2008-11-19,1.000000,1.040000,0.700000,0.710000,0.710000,121900
2008-11-20,0.690000,0.730000,0.600000,0.600000,0.600000,523700
2008-11-21,0.610000,0.670000,0.350000,0.440000,0.440000,705300
2008-11-24,0.580000,0.930000,0.370000,0.450000,0.450000,1256300
2008-11-25,0.750000,0.750000,0.450000,0.450000,0.450000,1332700
2008-11-26,0.450000,0.770000,0.440000,0.730000,0.730000,1118100
2008-11-28,0.710000,0.800000,0.640000,0.640000,0.640000,392400
2008-12-01,0.690000,0.800000,0.520000,0.530000,0.530000,902100
2008-12-02,0.550000,0.700000,0.550000,0.600000,0.600000,195900
2008-12-03,0.600000,0.680000,0.570000,0.590000,0.590000,436300
2008-12-04,0.600000,0.680000,0.600000,0.610000,0.610000,173200
2008-12-05,0.590000,0.610000,0.520000,0.600000,0.600000,412700
2008-12-08,0.610000,0.850000,0.580000,0.580000,0.580000,522800
2008-12-09,0.660000,0.660000,0.550000,0.600000,0.600000,256700
2008-12-10,0.620000,0.670000,0.570000,0.600000,0.600000,93000
2008-12-11,0.580000,0.680000,0.550000,0.550000,0.550000,124500
2008-12-12,0.550000,0.650000,0.550000,0.610000,0.610000,94200
2008-12-15,0.610000,0.620000,0.550000,0.560000,0.560000,87500
2008-12-16,0.580000,0.610000,0.530000,0.550000,0.550000,534200
2008-12-17,0.550000,0.600000,0.520000,0.570000,0.570000,310600
2008-12-18,0.580000,0.600000,0.530000,0.590000,0.590000,198800
2008-12-19,0.620000,0.620000,0.410000,0.410000,0.410000,719900
2008-12-22,0.450000,0.500000,0.370000,0.410000,0.410000,1339100
2008-12-23,0.410000,0.460000,0.410000,0.430000,0.430000,163000
2008-12-24,0.420000,0.460000,0.420000,0.440000,0.440000,285200
2008-12-26,0.440000,0.500000,0.440000,0.480000,0.480000,525600
2008-12-29,0.500000,0.560000,0.490000,0.500000,0.500000,318100
2008-12-30,0.490000,0.530000,0.430000,0.450000,0.450000,752900
2008-12-31,0.450000,0.540000,0.440000,0.520000,0.520000,840600
2009-01-02,0.520000,0.650000,0.500000,0.550000,0.550000,2236700
