Date,Open,High,Low,Close,Adj Close,Volume
2009-09-11,3.910000,3.910000,3.910000,3.910000,3.195906,582
2009-09-14,null,null,null,null,null,null
2009-09-15,null,null,null,null,null,null
2009-09-16,3.910000,3.910000,3.910000,3.910000,3.195906,160
2009-09-17,null,null,null,null,null,null
2009-09-18,3.910000,3.910000,3.910000,3.910000,3.195906,495
2009-09-21,null,null,null,null,null,null
2009-09-22,null,null,null,null,null,null
2009-09-23,4.000000,4.000000,4.000000,4.000000,3.269469,1000
2009-09-24,null,null,null,null,null,null
2009-09-25,4.050000,4.050000,3.950000,4.000000,3.269469,6500
2009-09-28,null,null,null,null,null,null
2009-09-29,null,null,null,null,null,null
2009-09-30,4.100000,4.100000,4.100000,4.100000,3.351206,21000
2009-10-01,null,null,null,null,null,null
2009-10-02,null,null,null,null,null,null
2009-10-05,null,null,null,null,null,null
2009-10-06,3.860000,3.860000,3.860000,3.860000,3.155038,218
2009-10-07,null,null,null,null,null,null
2009-10-08,null,null,null,null,null,null
2009-10-09,3.860000,3.860000,3.860000,3.860000,3.155038,182
2009-10-12,null,null,null,null,null,null
2009-10-13,3.950000,3.950000,3.950000,3.950000,3.228601,182
2009-10-14,4.000000,4.000000,4.000000,4.000000,3.269469,674
2009-10-15,4.000000,4.000000,4.000000,4.000000,3.269469,100
2009-10-16,null,null,null,null,null,null
2009-10-19,null,null,null,null,null,null
2009-10-20,4.200000,4.200000,4.200000,4.200000,3.432942,500
2009-10-21,null,null,null,null,null,null
2009-10-22,null,null,null,null,null,null
2009-10-23,null,null,null,null,null,null
2009-10-26,4.000000,4.000000,4.000000,4.000000,3.269469,9046
2009-10-27,3.860000,3.860000,3.860000,3.860000,3.155038,273
2009-10-28,3.860000,3.860000,3.860000,3.860000,3.155038,955
2009-10-29,3.900000,3.900000,3.900000,3.900000,3.187733,1500
2009-10-30,4.500000,4.500000,4.500000,4.500000,3.678153,1900
2009-11-02,null,null,null,null,null,null
2009-11-03,null,null,null,null,null,null
2009-11-04,4.150000,4.150000,4.150000,4.150000,3.392074,273
2009-11-05,null,null,null,null,null,null
2009-11-06,4.000000,4.150000,4.000000,4.150000,3.392074,25224
2009-11-09,4.150000,4.150000,4.150000,4.150000,3.392074,100
2009-11-10,4.150000,4.150000,4.150000,4.150000,3.392074,500
2009-11-11,4.050000,4.050000,4.050000,4.050000,3.310338,352
2009-11-12,null,null,null,null,null,null
2009-11-13,3.500000,3.500000,3.500000,3.500000,2.860785,25083
2009-11-16,4.050000,4.500000,4.050000,4.500000,3.678153,1182
2009-11-17,null,null,null,null,null,null
2009-11-18,null,null,null,null,null,null
2009-11-19,4.050000,4.050000,4.050000,4.050000,3.310338,773
2009-11-20,null,null,null,null,null,null
2009-11-23,4.050000,4.050000,4.050000,4.050000,3.310338,182
2009-11-24,4.050000,4.050000,4.050000,4.050000,3.310338,773
