Date,Open,High,Low,Close,Adj Close,Volume
2011-09-12,31.670000,32.480000,31.670000,32.480000,30.719774,7600
2011-09-13,32.950001,33.099998,32.709999,32.990002,31.202129,15700
2011-09-14,33.000000,34.110001,33.000000,33.680000,31.854736,3500
2011-09-15,33.759998,34.130001,33.750000,34.130001,32.280338,8400
2011-09-16,34.290001,34.290001,33.880001,34.029999,32.232994,11200
2011-09-19,33.160000,33.439999,33.099998,33.130001,31.380522,8700
2011-09-20,33.400002,33.520000,32.580002,32.580002,30.859558,3700
2011-09-21,32.669998,32.689999,32.080002,32.130001,30.433325,6400
2011-09-22,30.299999,30.730000,29.900000,30.270000,28.671541,43000
2011-09-23,30.320000,30.790001,30.320000,30.559999,28.946226,1900
2011-09-26,31.059999,31.219999,30.580000,31.219999,29.571377,23800
2011-09-27,32.250000,32.919998,31.900000,31.900000,30.215466,10500
2011-09-28,32.169998,32.279999,30.870001,30.870001,29.239861,17800
2011-09-29,31.670000,31.750000,30.600000,31.290001,29.637680,31700
2011-09-30,30.940001,31.370001,30.750000,30.799999,29.173550,11500
2011-10-03,30.350000,30.740000,28.719999,28.719999,27.203388,19100
2011-10-04,28.420000,30.510000,28.420000,30.510000,28.898869,13700
2011-10-05,31.040001,31.379999,30.799999,31.360001,29.703985,13700
2011-10-06,31.070000,31.910000,31.070000,31.900000,30.215466,3300
2011-10-07,32.130001,32.189999,31.040001,31.120001,29.476652,7600
2011-10-10,31.850000,32.590000,31.780001,32.590000,30.869032,6500
2011-10-11,32.230000,32.830002,32.230000,32.799999,31.067930,16400
2011-10-12,33.330002,33.900002,33.330002,33.689999,31.910934,2300
2011-10-13,33.450001,33.650002,33.090000,33.369999,31.607849,5600
2011-10-14,33.919998,34.020000,33.599998,34.020000,32.223518,4400
2011-10-17,33.770000,33.810001,32.860001,32.860001,31.124771,10600
2011-10-18,33.020000,34.090000,33.020000,34.080002,32.280338,3300
2011-10-19,33.880001,34.029999,33.169998,33.169998,31.418404,15000
2011-10-20,33.169998,33.259998,32.439999,33.259998,31.503651,16700
2011-10-21,33.849998,33.959999,33.480000,33.930000,32.138271,13800
2011-10-24,34.150002,35.160000,34.150002,35.160000,33.303314,26600
2011-10-25,34.830002,34.830002,34.070000,34.070000,32.270874,3500
2011-10-26,34.480000,34.599998,33.730000,34.540001,32.716057,3200
2011-10-27,36.049999,37.040001,35.619999,36.790001,34.847244,11500
2011-10-28,36.790001,36.939999,36.509998,36.590000,34.657806,6100
2011-10-31,35.730000,36.389999,35.730000,35.980000,34.080017,4400
2011-11-01,34.119999,34.950001,33.770000,34.279999,32.469772,24400
2011-11-02,34.740002,35.340000,34.730000,35.340000,33.473801,3900
2011-11-03,35.860001,35.860001,35.259998,35.709999,33.824276,2600
2011-11-04,35.630001,35.700001,35.419998,35.669998,33.786381,2900
2011-11-07,35.419998,35.430000,34.970001,35.080002,33.227539,2500
2011-11-08,35.950001,36.049999,35.279999,35.730000,33.843224,14300
2011-11-09,35.160000,35.480000,34.490002,34.490002,32.668694,14400
2011-11-10,35.020000,35.060001,34.689999,34.939999,33.094933,8600
2011-11-11,35.400002,35.970001,35.400002,35.930000,34.032658,1600
2011-11-14,35.750000,35.750000,35.330002,35.330002,33.464340,2700
2011-11-15,35.330002,35.840000,35.049999,35.790001,33.900043,4100
2011-11-16,35.419998,36.020000,35.119999,35.270000,33.407509,3200
2011-11-17,35.049999,35.389999,34.700001,34.700001,32.867611,3600
2011-11-18,34.910000,35.169998,34.639999,34.980000,33.132820,5400
2011-11-21,34.369999,34.369999,33.779999,34.220001,32.412949,8800
2011-11-22,34.169998,34.169998,33.700001,33.700001,31.920418,3700
2011-11-23,33.369999,33.369999,32.500000,32.549999,30.831144,21300
2011-11-25,32.250000,32.750000,31.940001,31.940001,30.253359,3400
2011-11-28,33.049999,33.590000,33.049999,33.150002,31.399466,4500
2011-11-29,33.630001,33.650002,33.310001,33.459999,31.693092,7100
2011-11-30,34.840000,35.560001,34.709999,35.549999,33.672726,20600
2011-12-01,35.599998,35.799999,35.310001,35.450001,33.577999,27000
2011-12-02,35.700001,36.070000,35.700001,35.750000,33.862160,2800
2011-12-05,36.410000,36.590000,35.970001,36.099998,34.193684,5100
2011-12-06,36.189999,36.290001,35.880001,36.290001,34.373638,5700
2011-12-07,35.419998,36.540001,35.419998,36.500000,34.572559,2600
2011-12-08,35.770000,35.770000,35.110001,35.360001,33.492752,3200
2011-12-09,35.410000,36.400002,35.410000,36.189999,34.278923,27700
2011-12-12,35.689999,35.689999,35.419998,35.619999,33.739029,3300
2011-12-13,36.009998,36.070000,34.630001,34.869999,33.028629,13300
2011-12-14,34.439999,34.900002,34.430000,34.610001,32.782352,9300
2011-12-15,35.060001,35.160000,34.860001,35.029999,33.180180,33300
2011-12-16,35.330002,35.779999,35.060001,35.240002,33.379093,3300
2011-12-19,35.549999,35.549999,34.500000,34.500000,32.678165,5200
2011-12-20,34.990002,35.779999,34.990002,35.759998,33.871643,18800
2011-12-21,35.509998,36.279999,35.410000,36.279999,34.364166,4300
2011-12-22,36.380001,36.910000,36.380001,36.750000,34.809349,15800
2011-12-23,36.919998,36.919998,36.580002,36.720001,34.780945,13200
2011-12-27,36.660000,37.040001,36.610001,36.810001,34.866184,9600
2011-12-28,36.919998,36.919998,35.910000,35.919998,34.023186,15300
2011-12-29,36.209999,36.419998,36.180000,36.330002,34.411533,20700
2011-12-30,36.340000,36.549999,36.080002,36.080002,34.174732,6400
2012-01-03,37.020000,37.139999,36.889999,37.000000,35.046150,8000
2012-01-04,36.820000,36.860001,36.560001,36.639999,34.705154,45400
2012-01-05,36.389999,36.799999,35.959999,36.720001,34.780945,8000
2012-01-06,36.480000,36.680000,36.240002,36.599998,34.667267,4300
2012-01-09,36.700001,36.830002,36.419998,36.830002,34.885132,2800
2012-01-10,37.270000,37.410000,37.160000,37.330002,35.358734,4100
2012-01-11,37.259998,37.830002,37.220001,37.830002,35.832325,6100
2012-01-12,37.880001,38.299999,37.459999,38.299999,36.277504,8300
2012-01-13,37.900002,37.919998,37.619999,37.740002,35.747082,7100
2012-01-17,38.200001,38.200001,37.709999,37.799999,35.803902,12000
2012-01-18,37.810001,38.759998,37.740002,38.759998,36.713211,2900
2012-01-19,39.020000,39.250000,38.779999,39.000000,36.940540,9700
2012-01-20,39.040001,39.209999,38.840000,39.200001,37.129978,13000
2012-01-23,39.200001,39.599998,39.009998,39.360001,37.281532,120700
2012-01-24,39.090000,39.660000,39.020000,39.630001,37.537270,8500
2012-01-25,39.490002,39.990002,39.490002,39.950001,37.840382,19300
2012-01-26,40.220001,40.220001,39.580002,39.830002,37.726715,13400
2012-01-27,39.630001,40.090000,39.630001,40.090000,37.972977,15000
2012-01-30,39.849998,39.880001,39.549999,39.750000,37.650932,15100
2012-01-31,39.770000,39.770000,39.529999,39.650002,37.556213,7100
2012-02-01,40.020000,40.880001,40.020000,40.880001,38.721264,14800
2012-02-02,41.000000,41.150002,40.889999,41.110001,38.939117,25600
2012-02-03,41.830002,42.360001,41.779999,42.240002,40.009445,19900
2012-02-06,41.970001,42.110001,41.830002,42.020000,39.801067,8700
2012-02-07,42.000000,42.150002,41.770000,41.930000,39.715813,69500
