DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/30/2009,5424049736,MONEY MARKET INTEREST (MMDA10),0.73,MMDA10,,,0.00,---,,,,
10/23/2009,5397620248,MONEY MARKET PURCHASE (MMDA10),12.8,MMDA10,,,0.00,---,,,,
10/23/2009,5397620242,MONEY MARKET PURCHASE,,,,,-12.80,---,,,,
10/22/2009,5395813019,CASH IN LIEU OF FRACTIONAL SHARES (PFE),,PFE,,,12.80,---,,,,
10/19/2009,5385435717,MONEY MARKET PURCHASE,,,,,-528.00,---,,,,
10/19/2009,5385435721,MONEY MARKET PURCHASE (MMDA10),528,MMDA10,,,0.00,---,,,,
10/16/2009,5383025634,Sold 16 WYE @ 33,16,WYE,33.00,,528.00,---,,,,
10/16/2009,5383025636,MANDATORY - EXCHANGE (PFE),15,PFE,,,0.00,---,,,,
10/01/2009,5341516094,MONEY MARKET PURCHASE (MMDA10),10.86,MMDA10,,,0.00,---,,,,
10/01/2009,5341516077,MONEY MARKET PURCHASE,,,,,-10.86,---,,,,
10/01/2009,5338553607,QUALIFIED DIVIDEND (CEG),,CEG,,,3.36,---,,,,
10/01/2009,5338502584,QUALIFIED DIVIDEND (NKE),,NKE,,,7.50,---,,,,
09/30/2009,5334284894,MONEY MARKET INTEREST (MMDA10),0.39,MMDA10,,,0.00,---,,,,
09/30/2009,5326037523,MONEY MARKET PURCHASE (MMDA10),2768.85,MMDA10,,,0.00,---,,,,
09/30/2009,5326037515,MONEY MARKET PURCHASE,,,,,-2768.85,---,,,,
09/25/2009,5314333936,Sold 59 TGT @ 47.1003,59,TGT,47.1003,9.99,2768.85,---,0.08,,,
09/24/2009,5309131456,MONEY MARKET PURCHASE (MMDA10),2.1,MMDA10,,,0.00,---,,,,
09/24/2009,5309131445,MONEY MARKET PURCHASE,,,,,-2.10,---,,,,
09/24/2009,5308383014,QUALIFIED DIVIDEND (GS),,GS,,,2.10,---,,,,
09/23/2009,5305817978,MONEY MARKET PURCHASE (MMDA10),1400.8,MMDA10,,,0.00,---,,,,
09/23/2009,5305817968,MONEY MARKET PURCHASE,,,,,-1400.80,---,,,,
09/18/2009,5296276315,Sold 41 WAG @ 34.4106,41,WAG,34.4106,9.99,1400.80,---,0.04,,,
09/14/2009,5280085324,MONEY MARKET PURCHASE,,,,,-5.64,---,,,,
09/14/2009,5279361155,QUALIFIED DIVIDEND (WAG),,WAG,,,5.64,---,,,,
09/14/2009,5280085364,MONEY MARKET PURCHASE (MMDA10),5.64,MMDA10,,,0.00,---,,,,
09/10/2009,5272356912,MONEY MARKET PURCHASE (MMDA10),35.03,MMDA10,,,0.00,---,,,,
09/10/2009,5272356784,MONEY MARKET PURCHASE,,,,,-35.03,---,,,,
09/10/2009,5270286302,QUALIFIED DIVIDEND (TGT),,TGT,,,10.03,---,,,,
09/10/2009,5270094425,RETURN OF CAPITAL (USMO),,USMO,,,25.00,---,,,,
09/02/2009,5253127433,MONEY MARKET PURCHASE (MMDA10),7.84,MMDA10,,,0.00,---,,,,
09/02/2009,5253127407,MONEY MARKET PURCHASE,,,,,-7.84,---,,,,
09/02/2009,5252018218,QUALIFIED DIVIDEND (PFE),,PFE,,,7.84,---,,,,
09/01/2009,5247434903,MONEY MARKET PURCHASE (MMDA10),4.8,MMDA10,,,0.00,---,,,,
09/01/2009,5247434897,MONEY MARKET PURCHASE,,,,,-4.80,---,,,,
09/01/2009,5244734791,QUALIFIED DIVIDEND (WYE),,WYE,,,4.80,---,,,,
08/31/2009,5242613736,MONEY MARKET INTEREST (MMDA10),0.47,MMDA10,,,0.00,---,,,,
08/31/2009,5234000024,MONEY MARKET PURCHASE,,,,,-2.40,---,,,,
08/31/2009,5233455733,QUALIFIED DIVIDEND (RAIL),,RAIL,,,2.40,---,,,,
08/31/2009,5234000026,MONEY MARKET PURCHASE (MMDA10),2.4,MMDA10,,,0.00,---,,,,
08/14/2009,5198537663,MONEY MARKET PURCHASE,,,,,-11.44,---,,,,
08/14/2009,5198537689,MONEY MARKET PURCHASE (MMDA10),11.44,MMDA10,,,0.00,---,,,,
08/14/2009,5197592444,QUALIFIED DIVIDEND (CL),,CL,,,11.44,---,,,,
08/03/2009,5166284226,MONEY MARKET PURCHASE,,,,,-0.02,---,,,,
08/03/2009,5166284234,MONEY MARKET PURCHASE (MMDA10),0.02,MMDA10,,,0.00,---,,,,
07/31/2009,5161468411,MONEY MARKET INTEREST (MMDA1),0.29,MMDA1,,,0.00,---,,,,
