DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
09/29/2017,17609662018,MONEY MARKET INTEREST (MMDA1),0.37,MMDA1,,,0.00,---,,,,
09/13/2017,17505781131,MONEY MARKET PURCHASE,,,,,-4943.94,---,,,,
09/13/2017,17505781142,MONEY MARKET PURCHASE (MMDA1),4943.94,MMDA1,,,0.00,---,,,,
09/11/2017,17492629085,Sold 450 LIND @ 11,450,LIND,11.00,5.95,4943.94,---,0.11,,,
08/31/2017,17434933825,MONEY MARKET INTEREST (MMDA1),0.33,MMDA1,,,0.00,---,,,,
07/31/2017,17275896038,MONEY MARKET INTEREST (MMDA1),0.16,MMDA1,,,0.00,---,,,,
06/30/2017,17113584830,MONEY MARKET INTEREST (MMDA1),0.16,MMDA1,,,0.00,---,,,,
05/31/2017,16925660042,MONEY MARKET INTEREST (MMDA1),0.17,MMDA1,,,0.00,---,,,,
05/18/2017,16869463827,MONEY MARKET PURCHASE,,,,,-220.00,---,,,,
05/18/2017,16869463854,MONEY MARKET PURCHASE (MMDA1),220,MMDA1,,,0.00,---,,,,
05/17/2017,16864782754,QUALIFIED DIVIDEND (RHDGF),,RHDGF,,,220.00,---,,,,
05/17/2017,16862330148,MONEY MARKET REDEMPTION,,,,,1510.75,---,,,,
05/17/2017,16862330149,MONEY MARKET REDEMPTION (MMDA1),1510.75,MMDA1,,,0.00,---,,,,
05/12/2017,16845815036,Bought 8000 NUSMF @ 0.1881,8000,NUSMF,0.1881,5.95,-1510.75,---,,,,
04/28/2017,16767816733,MONEY MARKET INTEREST (MMDA1),0.17,MMDA1,,,0.00,---,,,,
03/31/2017,16619664977,MONEY MARKET INTEREST (MMDA1),0.19,MMDA1,,,0.00,---,,,,
03/23/2017,16557848092,MONEY MARKET REDEMPTION,,,,,2046.45,---,,,,
03/23/2017,16557848124,MONEY MARKET REDEMPTION (MMDA1),2046.45,MMDA1,,,0.00,---,,,,
03/20/2017,16542016685,Bought 110 RHDGF @ 18.55,110,RHDGF,18.55,5.95,-2046.45,---,,,,
03/02/2017,16455366223,MONEY MARKET PURCHASE,,,,,-5010.57,---,,,,
03/02/2017,16455366304,MONEY MARKET PURCHASE (MMDA1),5010.57,MMDA1,,,0.00,---,,,,
02/28/2017,16436284216,MONEY MARKET INTEREST (MMDA1),0.14,MMDA1,,,0.00,---,,,,
02/28/2017,16425582345,MONEY MARKET PURCHASE (MMDA1),3.68,MMDA1,,,0.00,---,,,,
02/28/2017,16425582321,MONEY MARKET PURCHASE,,,,,-3.68,---,,,,
02/28/2017,16424313466,QUALIFIED DIVIDEND (CTO),,CTO,,,3.68,---,,,,
02/27/2017,16420662984,Sold 92 CTO @ 54.54,92,CTO,54.54,7.00,5010.57,---,0.11,,,
01/31/2017,16292247658,MONEY MARKET INTEREST (MMDA1),0.15,MMDA1,,,0.00,---,,,,
12/30/2016,16138164003,MONEY MARKET INTEREST (MMDA1),0.15,MMDA1,,,0.00,---,,,,
12/05/2016,15961366260,MONEY MARKET REDEMPTION,,,,,4340.50,---,,,,
12/05/2016,15961366271,MONEY MARKET REDEMPTION (MMDA1),4340.5,MMDA1,,,0.00,---,,,,
11/30/2016,15932736718,MONEY MARKET INTEREST (MMDA1),0.18,MMDA1,,,0.00,---,,,,
11/30/2016,15924968567,Bought 450 LIND @ 9.63,450,LIND,9.63,7.00,-4340.50,---,,,,
11/30/2016,15921938788,MONEY MARKET PURCHASE (MMDA1),3.68,MMDA1,,,0.00,---,,,,
11/30/2016,15921938720,MONEY MARKET PURCHASE,,,,,-3.68,---,,,,
11/30/2016,15920772527,QUALIFIED DIVIDEND (CTO),,CTO,,,3.68,---,,,,
10/31/2016,15776990973,MONEY MARKET INTEREST (MMDA1),0.19,MMDA1,,,0.00,---,,,,
***END OF FILE***
